epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,409.164,0.81859,1.61394,1.14994,0.77546,0.875,0.82489,0.68631,0.70394,2.27536,1.04846,0.000515,0.000515,0.000515
77,414.357,0.82615,1.20245,1.06391,0.77546,0.875,0.82489,0.68631,0.70394,2.27536,1.04846,0.0004952,0.0004952,0.0004952
78,419.569,0.72891,1.39912,1.02532,0.77546,0.875,0.82489,0.68631,0.70394,2.27536,1.04846,0.0004754,0.0004754,0.0004754
79,424.895,0.73912,1.20528,0.97987,0.87231,0.875,0.89607,0.6935,0.77326,1.7773,1.09276,0.0004556,0.0004556,0.0004556
80,430.339,0.7031,1.29954,1.03424,0.87231,0.875,0.89607,0.6935,0.77326,1.7773,1.09276,0.0004358,0.0004358,0.0004358
81,435.668,0.73885,1.25491,0.9871,0.87231,0.875,0.89607,0.6935,0.77326,1.7773,1.09276,0.000416,0.000416,0.000416
82,440.911,0.675,1.26186,0.96309,0.87231,0.875,0.89607,0.6935,0.77326,1.7773,1.09276,0.0003962,0.0003962,0.0003962
83,446.213,0.88222,1.47138,1.14857,0.8749,0.87427,0.88107,0.71478,0.80514,1.88877,1.13231,0.0003764,0.0003764,0.0003764
84,451.513,0.74072,1.27238,1.07054,0.8749,0.87427,0.88107,0.71478,0.80514,1.88877,1.13231,0.0003566,0.0003566,0.0003566
85,456.69,0.75939,1.11745,1.04765,0.8749,0.87427,0.88107,0.71478,0.80514,1.88877,1.13231,0.0003368,0.0003368,0.0003368
86,462.028,0.71213,1.05542,1.01161,0.8749,0.87427,0.88107,0.71478,0.80514,1.88877,1.13231,0.000317,0.000317,0.000317
87,467.444,0.63002,1.14025,0.97984,0.85982,0.875,0.91208,0.772,0.77388,2.09322,1.15009,0.0002972,0.0002972,0.0002972
88,472.674,0.71898,1.2999,1.05938,0.85982,0.875,0.91208,0.772,0.77388,2.09322,1.15009,0.0002774,0.0002774,0.0002774
89,478.042,0.72519,1.36301,1.13819,0.85982,0.875,0.91208,0.772,0.77388,2.09322,1.15009,0.0002576,0.0002576,0.0002576
90,483.503,0.72525,1.31734,1.05028,0.9838,0.875,0.92833,0.77562,0.76645,2.16158,1.12305,0.0002378,0.0002378,0.0002378
91,489.061,0.66579,1.43145,0.98448,0.9838,0.875,0.92833,0.77562,0.76645,2.16158,1.12305,0.000218,0.000218,0.000218
92,494.56,0.58215,1.3947,0.96324,0.9838,0.875,0.92833,0.77562,0.76645,2.16158,1.12305,0.0001982,0.0001982,0.0001982
93,499.721,0.70539,1.636,1.03787,0.9838,0.875,0.92833,0.77562,0.76645,2.16158,1.12305,0.0001784,0.0001784,0.0001784
94,505.016,0.70717,1.6098,0.96222,0.98861,0.875,0.923,0.75225,0.77543,1.9576,1.1167,0.0001586,0.0001586,0.0001586
95,510.466,0.67739,1.49891,0.95255,0.98861,0.875,0.923,0.75225,0.77543,1.9576,1.1167,0.0001388,0.0001388,0.0001388
96,515.709,0.64423,1.28582,1.05004,0.98861,0.875,0.923,0.75225,0.77543,1.9576,1.1167,0.000119,0.000119,0.000119
97,521.193,0.64826,1.36414,0.9752,0.98861,0.875,0.923,0.75225,0.77543,1.9576,1.1167,9.92e-05,9.92e-05,9.92e-05
98,526.628,0.60151,1.36573,0.94601,0.99098,0.875,0.93147,0.75818,0.80047,1.7369,1.12746,7.94e-05,7.94e-05,7.94e-05
99,531.876,0.56296,1.47147,0.92703,0.99098,0.875,0.93147,0.75818,0.80047,1.7369,1.12746,5.96e-05,5.96e-05,5.96e-05
100,537.107,0.66063,1.60595,1.00165,0.99098,0.875,0.93147,0.75818,0.80047,1.7369,1.12746,3.98e-05,3.98e-05,3.98e-05
